,code_circo,Suppléant,Titulaire,code_dpt,circo
0,01_1,Serge TISSOT,Fabrine MARTIN ZEMLIK,01,1
1,01_2,Dominique COLAS,Sylviane THIEBAULT,01,2
2,01_3,Virginie Polsinelli,Christian JOLIE,01,3
3,01_4,Cédric Raffin,Line HUGUET,01,4
4,01_5,Nora Kerzazi,Bertrand Jacquier,01,5
5,02_1,Maryline Pierrot,Jean-Marc Chamblay,02,1
6,02_2,Bastien Blanchart,Sarah Lempereur,02,2
8,02_4,SYLVIE HEYVAERTS,Régis POMMEROLLE,02,4
9,02_5,Isabelle Lambert,Omar Fenardji,02,5
10,03_1,Michelle Kapala,Frédéric Desnoix,03,1
11,03_2,Emmanuelle Michon,Sylvain Bourdier,03,2
12,03_3,Geoffrey Ortuno,Marie-Thérèse Dupuis,03,3
13,04_1,Eric Vuoso,Emmanuelle Gaziello,04,1
14,04_2,Evelyne BLANC,Laurent WALTER,04,2
15,05_1, ,Eléonore Flandin,05,1
16,05_2,Christophe Tassaux,Audrey Vincent-Nedelec,05,2
17,06_1,Liliane Dotta,Yannick ARHAN,06,1
18,06_2,Pierre-Emmanuelle Jeanne Somer,Sonia Naffati,06,2
19,06_3,Claude Dalbera,Bruno COULET,06,3
20,06_4,Didier PLAGNOL,Zohra Briand,06,4
21,06_5,Christine Evain,Philippe PELLEGRINI,06,5
22,06_6,Stéphane Pons,Prune Helfter-Noah,06,6
23,06_7,Michèle Charles,Philippe Carenzo,06,7
24,06_8,Luc Biasso,Maddy VARD,06,8
25,06_9,Christine Le Bouteiller,Denis LEBLANC,06,9
26,07_1,Luisa Sanchez,Paul Raoul,07,1
27,07_2,Jacques Deplace,Samia HASNAOUI,07,2
28,07_3,Florence Pallot,Alain JOFFRE,07,3
29,08_1, ,Françoise Verlhac,08,1
30,08_2,Marie-Corinne GILLET née DOLEZ,Michel Cartiaux,08,2
31,08_3, ,Sophie Perrin,08,3
32,09_1,Marcel Lopez,Bénédicte Taurine,09,1
33,09_2,Ingrid Lavoine,Michel Larive,09,2
34,10_1,Julie Lapeyre,Alexandre Faou,10,1
35,10_2,André Smolarz,Elise Géhin,10,2
36,10_3,Janny Borca,Yves BOUTEILLER,10,3
37,11_1, ,Marine Toro,11,1
38,11_2,NADINE SANCHEZ,Jean-Hugues SILBERMAN,11,2
39,11_3,Jean-Didier Carré,Manon LE BRETTON,11,3
40,12_1, ,Pierre-Arnaud Defontaines,12,1
41,12_2,Céline Hebeisen,Pascal Mazet,12,2
42,12_3,Théo Ollivier--Triquet,Catherine LAUR,12,3
43,13_1,Marie-Hélène RICE,Bernard Borgialli,13,1
44,13_10,Michelle Blanchard,Jacques Charton,13,10
45,13_11,Guillaume DALLA COSTA,Claudie HUBERT,13,11
46,13_12,Nathalie MICHELUCCI epouse CHABRAND,Damien Merono,13,12
47,13_13,Stella APEDDU,Fabrice Aubert,13,13
48,13_14,Jean-Yves Salvat,Hélène Le Cacheux,13,14
49,13_15,Jean-Pierre ,Michèle JUNG  (titulaire),13,15
50,13_16, ,Gérard GERON,13,16
51,13_2,Michel Rabillé,Ariane Gil,13,2
52,13_3,Raymond Lopez,SARAH SOILIHI,13,3
53,13_4, ,Jean-Luc Mélenchon,13,4
54,13_5,Anne Mandine,Hendrik Davi,13,5
55,13_6,Mikaël Balmont,Annie Gal,13,6
56,13_7,Armelle Rioualen,Ouali BRINIS,13,7
57,13_8, ,Nadia GRAINDORGE,13,8
58,13_9,Eric Remen,Sylvie Pille-Lesou,13,9
59,14_1,Alexandre Besselievre,Karinne GUALBERT,14,1
60,14_2, ,ETIENNE BRASSELET,14,2
61,14_3,Sylvie Busato Cozzi,Didier Canu,14,3
62,14_4, ,Stéphane Poussier,14,4
64,14_6,Annie Lepinette,Paul Demeilliers,14,6
65,15_1,Benoite Favre,Thierry Bonhoure,15,1
67,16_1,Daniel GAUTIER,Martine Boutin,16,1
68,16_2,Grégoire Feybesse,Nathalie Jabli,16,2
69,16_3,Laurent ROUSSEL,Véronique Bachelier Gregori,16,3
70,17_1,Yhlem Dekkiche,Cédric Ruffié,17,1
71,17_2,Christophe Geffré,Maud Assila,17,2
72,17_3,Maryvonne Filipovitch,Rémy Catrou,17,3
73,17_4,Tony Launay,Lucie Kirchner,17,4
74,17_5,Marie-Claude Marlin,Geoffrey Lebreton,17,5
75,18_1,Corinne Trussardi,Frederic Renard,18,1
76,18_2,Thierry Lopez,Souade Kastani,18,2
77,18_3,Patricia Guéhenneux,Jean Riffet,18,3
78,19_1,Lucrèce La Chenardière,Jean-Marc Vareille,19,1
79,19_2,Roland Rupage,Selin Ersoy,19,2
80,21_1,Natacha Camus,Arnaud Guvenatam,21,1
81,21_2,SYLVAINE AMALRIC,Patricia Marc,21,2
82,21_3,Catherine DREMEAU,Boris Obama,21,3
83,21_4,Brigitte Mindus,Stéphane GUINOT,21,4
84,21_5, ,Elisabeth Kremer,21,5
85,22_1,Philippe Guégan,Marion Gorgiard,22,1
86,22_2,ANDREE  CLAIRE BAZIN,Didier GIFFRAIN,22,2
87,22_3,Christelle Marcq,Ronan Glaziou,22,3
88,22_4,Henri DUCLUT,Murielle LEPVRAUD,22,4
89,22_5,Romain Hipeau,Marie-Amélie Troadec,22,5
90,23_1,Laurent Sauvajon,Laurence Pache,23,1
91,24_1, ,Hélène Reys,24,1
92,24_2,Chrystel Boutillier,Pascal Dumeste,24,2
93,24_3, ,Philippe Guillerme,24,3
94,24_4,Luis Ferreyra,Emilie Chalard,24,4
95,25_1,José Gahona,Habiba Delacour,25,1
96,25_2,Daniel CONVERSY,Claire Arnoux,25,2
97,25_3,Morgane Paulet,Christophe Espolio,25,3
98,25_4,Christian Millet,Nadia Barznica,25,4
99,25_5,Ivan Bouday,Martine Ludi,25,5
100,26_1, ,Karine Messina,26,1
101,26_2,gilles reynaud,Rachel Mahé,26,2
102,26_3,Hélène Lacheret,Didier Thévenieau,26,3
103,26_4,Jean-Bernard SUCHEL,Emmanuelle OULD AOUDIA,26,4
104,27_1,Cécile Soulignac,Michaël Després,27,1
105,27_2,Jean-Paul BOITEUX,Nathalie PACOURET,27,2
108,27_5,Laurence FILIPPINI,Pierre ZIMMERMANN,27,5
109,28_1, ,Juliette Bayanski,28,1
110,28_2,Agnès Cueille,Jean-Michel DEJENNE,28,2
111,28_3,Isabelle Goupy,Régis REBOUL,28,3
112,28_4, ,Sophie Sinatti,28,4
113,29_1,Benjamin Toutant,Jugdeep Harvinder,29,1
114,29_2,Cécile Beaudouin,Pierre-Yves Cadalen,29,2
115,29_3,Bertrand SEYS,Christine Panaget,29,3
116,29_4,Diane CHEVAIS,Julien Kerguillec,29,4
117,29_5, ,Karine Demoulin,29,5
118,29_6,Lauriane Feyeux,Jean Michel LUCAS,29,6
119,29_7,Isabelle Loeffel,Roland JAOUEN,29,7
120,29_8,Annie Perron,Emmanuel Magnan,29,8
121,2A_1,Christine Malfroy,Jacques Casamarta,2A,1
123,2B_1,Claude Franceschi,Catherine Laurenti,2B,1
124,2B_2,Amélie Raffeali,Jean Moghraoui,2B,2
125,30_1,Mohammed El Marouani,Yannick Battefort,30,1
126,30_2,Benoît Ode,Danielle FLOUTIER,30,2
127,30_3,Charlotte Montels,Geneviève Sabathé,30,3
