Département,Circo,Id Circo,FN investi,PS investi,En Marche investi,UDI investi,LR investi,EE-LV investi,Sortant,Première élection
75,13,75_13,Wallerand de SAINT-JUST,,Hugues Renson,,Jean-François Lamour,,Jean-François Lamour,2007
86,3,86_3,Delphine Jumeau,Jean-Michel CLEMENT,,,Enguerrand Delannoy,Florian SÉJOURNÉ,Jean-Michel Clément,2007
13,15,13_15,,,,,Bernard Reynès,Hélène Haensler,Bernard Reynès,2007
76,6,76_6,Françoise DUCHAUSSOY,Marie LE VERN,,Blandine Lefevre,,Frédéric Weisz,Sandrine Hurel,2007
49,7,49_7,Aurore LAHONDÈS,Sylvie CAMARA TOMBINI,,,Étienne Glémot,Hervé Dubosclard,Marc Laffineur,1988
51,5,51_5,Thomas LAVAL,Linda MUNSTER,,Charles de Courson,,,Charles de Courson,1993
58,2,58_2,Harold BLANOT,Christian PAUL,,Jean Loup Lafeuillade,,Gilbert Champagne,Christian Paul,1997
40,2,40_2,,Christine BASLY LAPEGUE,,Catherine Brigand,Sylviane Pacot,Marie-Ange Delavenne,Jean-Pierre Dufau,1997
54,2,54_2,Grégoire EURY,Hervé FERON,,Sabine Lemaire Assfeld,Valérie Debord,,Hervé Féron,2007
69,3,69_3,Pierre DELACROIX,,,Christophe Geourgeon,Nora Berra,Fanny Dubot,Jean-Louis Touraine,2007
2B,2,2B_2,,,,,Stéphanie Grimaldi,Jean-Claude Mancione,Paul Giacobbi,2002
22,3,22_3,,,,,Marc Le Fur,,Marc Le Fur,1993
35,4,35_4,Christian LECHEVALIER,Franck PICHOT,,,Jean-Marc Carreau,,Jean-René Marsac,2007
06,7,06_7,,,,,Jean Leonetti,Elisabeth Deborde,Jean Leonetti,1997
76,1,76_1,Thomas MARCY,Valérie FOURNEYRON,,Robert Picard,Jean-François Bures,Véronique Bérégovoy,Valérie Fourneyron,2007
44,1,44_1,,,,Hervé Grelard,Julien Bainvel,,François de Rugy,2007
95,7,95_7,Bruno MARCEL,,,,Jérôme Chartier,Catherine David,Jérôme Chartier,2002
67,1,67_1,Andréa DIDELOT,Eric ELKOUBY,,Laurent PY,Elsa Schalck,Abdelkarim Ramdane,Armand Jung,1997
69,7,69_7,Jean-Marie NICOLAS,Renaud GAUQUELIN,,Ghislaine Durand,Alexandre Vincendet,Pierre Didier Tchetche-Apea,Renaud Gauquelin,2016
68,6,68_6,Sylvain Marcelli,Pierre PARRA,,Francis Hillmeyer,,Dan Thuy Vo,Francis Hillmeyer,2000
31,7,31_7,,Marie-Caroline TEMPESTA,Elisabeth Toutut-Picard,Nadine Barre,Françoise Borret,Catherine Renaux,Patrick Lemasle,1997
16,3,16_3,Aurelie De Azevedo,Jérôme LAMBERT,,Brigitte Fouré,,Marie-Amélie RIVET,Jérôme Lambert,1986
69,8,69_8,Pierre TERRAIL,,,,Patrice Verchère,Bénédicte Hominal,Patrice Verchère,2007
73,2,73_2,Jean-Marie GARCIN,,,,Hervé Gaymard,,Hervé Gaymard,1993
42,6,42_6,,,,,Paul Salen,,Paul Salen,2011
59,6,59_6,Eric CATTELIN,,,,Thierry Lazaro,,Thierry Lazaro,1993
33,5,33_5,,Pascale GOT,,Thierry Dubouilh,Florence Legrand,Stéphane Saubusse,Pascale Got,2007
76,2,76_2,Gilles PATITUCCI,Jacques Antoine PHILIPPE,,,Françoise Guégot,,Françoise Guégot,2007
11,1,11_1,Christophe Barthès,Alain GINIES,,Marie Helène Bonnevie,Miren de Lorgeril,Claude-Marie Benson,Jean-Claude Perez,1997
999,11,999_11,Sébastien Cochard,Florian BOHEME,,,Thierry Mariani,Janick Magne,Thierry Mariani,1993
26,2,26_2,,Isabelle MALRIC,,Franck Reynier,,Delphine Groslong,Franck Reynier,2007
75,3,75_3,Aurélien Legrand,Annick LEPETIT,,Valérie Nahmias,,Adrien Delassus,Annick Lepetit,2002
33,3,33_3,Bruno PALUTEAU,Naima CHARAI,,Marc Labourdette,,,Noël Mamère,1997
95,6,95_6,Jean-Michel DUBOIS,Guilaine PESTIE,,,Luc Strehaiano,François Delcombre,François Scellier,2002
88,2,88_2,Isabelle GÉRARD,,,,Gérard Cherpion,,Gérard Cherpion,1993
92,4,92_4,Laurent Salles,Habiba BIGDADE,,Isabelle Florennes,Camille Bedin,Alexis Martin,Jacqueline Fraysse,1978
41,3,41_3,,,,Maurice Leroy,,,Maurice Leroy,1997
59,7,59_7,Françoise COOLZAET,Hélène VIARD,,Francis Vercamer,,Karima Chouia,Francis Vercamer,2002
52,2,52_2,Frédéric FABRE,Antoine DESFRETIER,,,François Cornut-Gentille,,François Cornut-Gentille,1993
57,2,57_2,Marie-Claude VOINÇON,Jean-Michel TOULOUZE,,,Denis Jacquat,Mathias Boquet,Denis Jacquat,1986
02,1,02_1,,,,Aude Bono,Christophe Coulon,Brigitte Fournié Turquin,René Dosière,1988
58,1,58_1,Pauline VIGNERON,Gaëtan GORCE,,Guillaume Maillard,,Sylvie Dupart-Muzerelle,Martine Carrillon-Couvreur,2002
83,6,83_6,Jérôme RIVIÈRE,,,,Josette Pons,Delphine De Luca,Josette Pons,2002
01,4,01_4,Blanche Chaussat,,,,Michel Voisin,Anne Partensky-Leibman,Michel Voisin,1988
07,1,07_1,Céline Porquet,Hervé SAULIGNAC,,Isabelle Masseboeuf,,Olivier Keller,Pascal Terrasse,1997
93,1,93_1,,Bruno LE ROUX,,,Marina Venturini,Dina Deffairi-Sessac,Bruno Le Roux,1997
75,9,75_9,Corinne BERTHAUD,Jean-Marie LE GUEN,,Elisabeth Stibbe,Laure Esquieu,Claire Monod,Jean-Marie Le Guen,1988
77,1,77_1,Stéfanie CONIGLIO,Nicolas ALIX,,,Jean-Claude Mignon,,Jean-Claude Mignon,1988
33,7,33_7,,Bernard GARRIGOU,,Sylvie Trautmann,Karine Roux-Labat,Jean-Yves Grandidier,Alain Rousset,2007
59,4,59_4,Julien FRANQUET,Philippe HARQUET,,,Marc-Philippe Daubresse,,Marc-Philippe Daubresse,1992
06,1,06_1,,,Caroline Reverso-Meinietti,,Éric Ciotti,,Éric Ciotti,2007
971,4,971_4,,,,Christine Houblon,Sonia Petro,,Victorin Lurel,2002
59,12,59_12,Gérard PHILIPPE,,,Paul Sagniez,Marjorie Gosselet-Cambrai,,Christian Bataille,1988
29,1,29_1,,Jean-Jacques URVOAS,,Claire Lévry-Gérard,,Jean-Pierre Bigorgne,Jean-Jacques Urvoas,2007
35,8,35_8,,Emmanuel COUET,,Chrystèle Jouffe-Rassouli,Amélie Dhalluin,,Marcel Rogemont,1997
31,5,31_5,Julien Leonardelli,,,Jean Marc Dumoulin,,Clémentine Renaud,Françoise Imbert,1997
76,4,76_4,,Guillaume BACHELAY,,David Boust,Marie-Hélène Roux,David Cormand,Laurent Fabius,1978
31,6,31_6,Michèle PELLIZZON,Camille POUPONNEAU,,Didier Klysz,Damien Laborde,Patrick Jimena,Monique Iborra,2007
75,14,75_14,Armelle GOASGUEN,Pierre-Alain WEILL,,,Claude Goasguen,,Claude Goasguen,1993
62,4,62_4,Marie-Annick DUPAS,Blandine DRAIN,,,Daniel Fasquelle,,Daniel Fasquelle,2007
89,3,89_3,Julien ODOUL,Dominique BOURREAU,,,Marie-Louise Fort,,Marie-Louise Fort,2007
75,2,75_2,Manon BOUQUIN,Marine ROSSET,,,Nathalie Kosciusco-Morizet,Laurent Audouin,François Fillon,1981
35,6,35_6,,Evelyne GAUTIER LE BAIL,,Thierry Benoit,,,Thierry Benoit,2007
59,17,59_17,Thibaut FRANÇOIS,Agnès DUPUIS,,,Frederic Nihous,Lucile Wacheux,Marc Dolez,1988
28,4,28_4,,,,Philippe Vigier,,Nachida Barre,Philippe Vigier,2007
40,1,40_1,Christophe Bardin,Renaud LAGRAVE,,Philippe Mouhel,Marie-Françoise Nadau,Michèle Belitzerkaufski,Alain Vidalies,1988
84,2,84_2,Thibaut de LA TOCNAYE,,,,Jean-Claude Bouchet,,Jean-Claude Bouchet,2007
44,8,44_8,Gauthier Bouchet,Laurianne DENIAUD,,,Florence Beuvelet,Fabrice Bazin,Marie-Odile Bouillé,2007
28,1,28_1,,Stéphane CORDIER,,,,Jade Barre,Jean-Pierre Gorges,2002
07,2,07_2,Odile Lasfargues-Bouyon,Olivier DUSSOPT,,Jacques Dubay,Marc-Antoine Quenette,,Olivier Dussopt,2007
25,3,25_3,Loup VIALLET,Sidonie MARCHAL,,,,Odile Joannès,Marcel Bonnot,2002
93,11,93_11,,,,Nathalie Soutinho,Martine Valleton,Céline Fréby,François Asensi,1981
92,10,92_10,Anne-Laure MALEYRE,Thomas PUIJALON,,André Santini,,Pauline Couvent,André Santini,1988
75,1,75_1,,Pauline VERON,,,Pierre Lellouche,Victoria Barigant,Pierre Lellouche,1993
27,3,27_3,,,,Pierre Bibet,,,Hervé Morin,1998
83,4,83_4,Philippe Lottiaux,,,,Françoise Dumont,Jean-Laurent Felizia,Jean-Michel Couve,1986
68,2,68_2,Grégory STICH,,,,Jean-Louis Christ,Marie Harmi,Jean-Louis Christ,2002
36,1,36_1,,,,Gilles des Gachons,Paulette Picard,,Jean-Paul Chanteguet,1988
16,1,16_1,Geoffray Gourré,Martine PINVILLE,,Samuel Cazenave,Elise Vouvet-Laguionnie,Odile ACHARD,Martine Pinville,2007
38,6,38_6,,Alexandre BOLLEAU,,,Alain Moyne-Bressand,Danièle Falchier,Alain Moyne-Bressand,1986
62,2,62_2,Alban Heusèle,Jacqueline MAQUET,,Alexandre Malfait,,Laure Olivier,Jacqueline Maquet,2007
90,2,90_2,Jean-Raphaël SANDRI,Maude CLAVEQUIN,,Michel Zumkeller,,Vincent Jeudy,Michel Zumkeller,2002
16,2,16_2,,Marianne REYNAUD,,Pascaline Brisset,Daniel Sauvaitre,Marie NOBILET,Marie-Line Reynaud,1997
32,1,32_1,Nathalie PIERREISNARD,Francis DUPOUEY,,Christophe Terrain,,,Philippe Martin,2002
78,4,78_4,Marie-Jo RENAUDIN,Monika BELALA,,,Pierre Lequiller,Marie-Françoise d'Arras,Pierre Lequiller,1988
73,1,73_1,Jean-Pierre CHAUVEAU,,,,Dominique Dord,,Dominique Dord,1997
29,8,29_8,Mikaël Caréo,Michaël QUERNEZ,,,Laetitia Boidin,Marie-Andrée Jérôme-Clovis,Gilbert Le Bris,1981
59,9,59_9,Valérie TALPAERT,,,,Bernard Gérard,Sandrine Rousseau,Bernard Gérard,2007
95,8,95_8,Tifanny ALLEAU,,,Chantal Grolier,,Joan Fenet,François Pupponi,2007
68,3,68_3,Katia Di Leonardo,,,,Jean-Luc Reitzer,,Jean-Luc Reitzer,1988
94,8,94_8,Marie-Odile ENON,Sophie GALLAIS,,,Michel Herbillon,Rémi Houley,Michel Herbillon,1997
95,1,95_1,Denise CORNET,Sandra NGUYEN DEROSIER,,,Philippe Houillon,Bénédicte Ariès,Philippe Houillon,1993
86,1,86_1,Arnaud Fage,Xavier Moinier,,Jérôme Neveux,Jacqueline Daigre,,Alain Claeys,1997
42,3,42_3,,Philippe KIZIRIAN,,François Rochebloine,,Patricia Simonin-Chaillot,François Rochebloine,1988
55,2,55_2,Eric VILAIN,Jean-Louis DUMONT,,,Pierre Regent,,Jean-Louis Dumont,1981
41,2,41_2,Mathilde Paris,Didier GUENIN,,,Guillaume Peltier,,Patrice Martin-Lalande,1993
69,9,69_9,Christophe Boudot,,,,Bernard Perrut,Brigitte Ealet,Bernard Perrut,1997
60,7,60_7,Philippe LAMBILLIOTTE,Alexandre OUIZILLE,,,Édouard Courtial,Gil Mettai,Édouard Courtial,2002
69,11,69_11,Antoine MELLIES,Jules JOASSARD,,,Georges Fenech,Jérôme Bub,Georges Fenech,2002
06,9,06_9,Nathalie Pavard,,,,Michèle Tabarot,Didier Cherel,Michèle Tabarot,2002
59,20,59_20,Ludovic de DANNE,Marcel LOUREL,,David Bustin,,Frédéric Bigot,Alain Bocquet,1978
75,16,75_16,Michel BULTÉ,Jean-Christophe CAMBADELIS,Mounir Mahjoubi,Mustapha SAADI,Anne-Constance Onghena,Dan Lert,Jean-Christophe Cambadélis,1988
14,4,14_4,,Xavier MADELAINE,,,Nicole Ameline,Sophie Börner,Nicole Ameline,1991
62,8,62_8,Karine Haverlant,Bertrand PETIT,,Monique Saussier,,,Michel Lefait,1997
49,5,49_5,Lucie PINEAU,,,,,,Gilles Bourdouleix,2002
03,2,03_2,Elisabeth CAMUS,Nicolas BRIEN,,Claude Riboulet,Daniel Duglery,,Bernard Lesterlin,2007
57,4,57_4,Marie-Amélie DUTHEIL DE LA ROCHÈRE,,,,Alain Marty,Brigitte Albertus,Alain Marty,2002
78,5,78_5,Laurence BAUDRILLARD,,,,Jacques Myard,,Jacques Myard,1993
24,1,24_1,,Michel MOYRAND,,Thierry Cipierrre,Laurent Mossion,Francis Cortez,Pascal Deguilhem,2007
78,7,78_7,Victoria KOSTIAEVA,,,Arnaud Richard,,Ghislaine Senée,Arnaud Richard,2010
49,3,49_3,Patrice LANCIEN,,,,Jean-Charles Taugourdeau,,Jean-Charles Taugourdeau,2002
06,6,06_6,,,,,Lionnel Luca,Antoine Marchese,Lionnel Luca,1997
59,18,59_18,Mélanie DISDIER,Claire POMMEYROL BURLET,,Guy Bricout,,Thomas Fremond,François-Xavier Villain,2002
60,4,60_4,Mylène TROSZCZYNSKI,,,,Eric Woerth,,Éric Woerth,2002
50,1,50_1,Franck SIMON,,,,Philippe Gosselin,,Philippe Gosselin,2007
972,1,972_1,,,,,Karine Mousseau,,Alfred Marie-Jeanne,1997
92,5,92_5,Geoffroy RONDEPIERRE,Lies MESSATFA,,,Arnaud de Courson,,Patrick Balkany,1988
81,2,81_2,Doriane ALBARAO,Claire FITA,,Patrice Gausserand,Anne-Michèle Bianchi,,Jacques Valax,2007
67,3,67_3,,Serge OEHLER,,,Georges Schuler,,André Schneider,1997
975,1,975_1,,,,,,,Annick Girardin,2007
31,3,31_3,,Isabelle HARDY,,,Laurence Arribagé,,Laurence Arribagé,2014
59,14,59_14,Jean-Paul Tisserand,Christian DEVOS,,,Paul Christophe,Myriam Santhune,Jean-Pierre Decool,2002
77,6,77_6,Béatrice ROULLAUD,Bastien MARGUERITE,,,Jean-François Copé,,Jean-François Copé,1995
37,1,37_1,,Jean-Patrick GILLE,,Christophe Bouchet,Céline Ballesteros,,Jean-Patrick Gille,2007
37,3,37_3,,Marisol TOURAINE,,Sophie Auconie,,,Marisol Touraine,1997
05,2,05_2,,,,Chantal Eymeoud,Arnaud Murgia,,Joël Giraud,
87,1,87_1,Nathalie GÉRARD,Laurent LAFAYE,,Corinne Robert,Sarah Gentil,Ghilaine Jeannot-Pages,Alain Rodet,1981
973,2,973_2,,,,,,,Chantal Berthelot,2007
40,3,40_3,,Boris VALLAUD,,Françoise Lacausse,,Richard Bidegaray,Henri Emmanuelli,
22,5,22_5,Annick Lebiez,Corinne ERHEL,,Thierry Simeliere,,,Corinne Erhel,
10,2,10_2,Jean-Christophe LEFÈVRE,Audrey AIT KEDDACHE,,,Jean-Claude Mathis,,Jean-Claude Mathis,2002
55,1,55_1,Corinne KAUFMANN,Arnaud MAC FARLANE,,Bertrand Pancher,,Jean-Marc Fleury,Bertrand Pancher,2007
08,1,08_1,Sophie Lorenzo,,,,Bérengère Poletti,,Bérengère Poletti,2002
79,2,79_2,Jean-Romée CHARBONNEAU,Delphine BATHO,,,Severine Vachon,Laurence RÉAU,Delphine Batho,2007
69,6,69_6,Stéphane PONCET,Najat VALLAUD BELKACEM,,Patrice Schoendorff,Emmanuelle Haziza,Béatrice Vessiller,Pascale Crozon,2007
43,1,43_1,,Fabrice FARISON,,,Laurent Wauquiez,,Laurent Wauquiez,2004
48,1,48_1,Emmanuel GERSTNER,Aurélie MAILLOLS,,,Pierre Morel-à-l’Huissier,Grégoire de Saint Jorre,Pierre Morel-A-L'Huissier,2002
39,3,39_3,Stéphane Montrelay,Françoise BARTHOULOT,,,Jean-Marie Sermier,,Jean-Marie Sermier,2002
75,17,75_17,Vanessa LANCELOT,Colombe BROSSEL,,Nicolas Jeannete,Babette de Rozières,,Daniel Vaillant,1988
38,4,38_4,,Marie-Noelle BATTISTEL,,François Gillabert,Sandrine Martin-Grand,,Marie-Noëlle Battistel,2010
92,8,92_8,Marc THOMAS,Catherine LIME BIFFE,,,Jean-Jacques Guillet,Renaud Dubois,Jean-Jacques Guillet,1993
33,12,33_12,,,,Jean-François Boras,Yves d’Amecourt,Anne-Laure Fabre-Nadler,Martine Faure,2007
21,2,21_2,,Pierre PRIBETICH,,,Rémi Delatte,Catherine Hervieu,Rémi Delatte,2007
38,3,38_3,,Michel DESTOT,,Loïc Roche,Elodie Léger,,Michel Destot,1988
93,4,93_4,Gilles CLAVEL,,,,Christine Cerrigone,Nahiba Rezkalla,Marie-George Buffet,1997
59,8,59_8,Astrid Leplat,,,,,Chritian Carlier,Dominique Baert,1997
92,3,92_3,Floriane DENIAU,Isabelle DAHAN,,,Jacques Kossowski,Joëlle Paris,Jacques Kossowski,1997
